circuit_id,circuit_name,country,race_count,pole_win_rate,front3_podium_rate,grid_finish_correlation,qualifying_finish_correlation,avg_abs_position_change,grid_importance_score
yas_marina,Yas Marina Circuit,UAE,7,1.0000,0.8571,0.7416,0.7740,2.6571,0.8796
suzuka,Suzuka Circuit,Japan,6,0.8333,0.7778,0.8095,0.8108,2.3388,0.8095
zandvoort,Circuit Park Zandvoort,Netherlands,5,1.0000,0.6667,0.5958,0.5974,3.5773,0.7787
shanghai,Shanghai International Circuit,China,4,0.7500,0.9167,0.6393,0.6279,3.5802,0.7668
monaco,Circuit de Monaco,Monaco,6,0.6667,0.7778,0.7805,0.7738,2.4000,0.7341
jeddah,Jeddah Corniche Circuit,Saudi Arabia,5,0.6000,0.8000,0.7205,0.7224,2.9899,0.6961
villeneuve,Circuit Gilles Villeneuve,Canada,5,0.6000,0.8667,0.6153,0.6153,3.6667,0.6846
ricard,Circuit Paul Ricard,France,3,0.6667,0.6667,0.6892,0.6982,2.9322,0.6734
catalunya,Circuit de Barcelona-Catalunya,Spain,7,0.5714,0.7143,0.7554,0.7596,2.5145,0.6695
red_bull_ring,Red Bull Ring,Austria,9,0.6667,0.7037,0.6211,0.6286,3.4011,0.6641
marina_bay,Marina Bay Street Circuit,Singapore,5,0.6000,0.6000,0.7093,0.7011,3.2041,0.6328
rodriguez,Autódromo Hermanos Rodríguez,Mexico,6,0.5000,0.6667,0.7031,0.6792,3.3051,0.6109
spa,Circuit de Spa-Francorchamps,Belgium,7,0.4286,0.8095,0.6436,0.7117,3.0741,0.6074
bahrain,Bahrain International Circuit,Bahrain,8,0.6250,0.5833,0.6057,0.6030,3.6478,0.6067
albert_park,Albert Park Grand Prix Circuit,Australia,6,0.6667,0.6667,0.4610,0.4699,4.3306,0.6050
americas,Circuit of the Americas,USA,6,0.5000,0.7222,0.5166,0.5845,3.7373,0.5716
imola,Autodromo Enzo e Dino Ferrari,Italy,5,0.4000,0.7333,0.5864,0.5859,3.9082,0.5559
silverstone,Silverstone Circuit,UK,8,0.3750,0.6667,0.6462,0.6470,3.4088,0.5439
losail,Losail International Circuit,Qatar,4,0.5000,0.5000,0.6338,0.6417,3.6750,0.5402
interlagos,Autódromo José Carlos Pace,Brazil,6,0.6667,0.4444,0.4593,0.4529,4.2627,0.5378
baku,Baku City Circuit,Azerbaijan,6,0.3333,0.6667,0.5965,0.6118,3.5043,0.5123
monza,Autodromo Nazionale di Monza,Italy,7,0.2857,0.7143,0.5631,0.6700,3.7737,0.4975
miami,Miami International Autodrome,USA,5,0.2000,0.6000,0.7449,0.7477,3.0800,0.4835
hungaroring,Hungaroring,Hungary,7,0.1429,0.5714,0.6261,0.6228,3.6838,0.4164
vegas,Las Vegas Strip Street Circuit,USA,3,0.3333,0.5556,0.3549,0.3915,4.7333,0.4065
sochi,Sochi Autodrom,Russia,3,0.0000,0.6667,0.5364,0.5424,4.0169,0.3609
