driver_id,driver_name,nationality,wins,first_win_year,last_win_year
michael_schumacher,Michael Schumacher,German,91,1992,2006
hamilton,Lewis Hamilton,British,62,2007,2017
prost,Alain Prost,French,51,1981,1993
vettel,Sebastian Vettel,German,47,2008,2017
senna,Ayrton Senna,Brazilian,41,1985,1993
alonso,Fernando Alonso,Spanish,32,2003,2013
mansell,Nigel Mansell,British,31,1985,1994
stewart,Jackie Stewart,British,27,1965,1973
clark,Jim Clark,British,25,1962,1968
lauda,Niki Lauda,Austrian,25,1974,1985
fangio,Juan Fangio,Argentine,24,1950,1957
piquet,Nelson Piquet,Brazilian,23,1980,1991
rosberg,Nico Rosberg,German,23,2012,2016
damon_hill,Damon Hill,British,22,1993,1998
raikkonen,Kimi R�_ikk̦nen,Finnish,20,2003,2013
hakkinen,Mika H�_kkinen,Finnish,20,1997,2001
moss,Stirling Moss,British,16,1955,1961
button,Jenson Button,British,15,2006,2012
emerson_fittipaldi,Emerson Fittipaldi,Brazilian,14,1970,1975
hill,Graham Hill,British,14,1962,1969
jack_brabham,Jack Brabham,Australian,14,1959,1970
ascari,Alberto Ascari,Italian,13,1951,1953
coulthard,David Coulthard,British,13,1995,2003
jones,Alan Jones,Australian,12,1977,1981
reutemann,Carlos Reutemann,Argentine,12,1974,1981
mario_andretti,Mario Andretti,American,12,1971,1978
massa,Felipe Massa,Brazilian,11,2006,2008
villeneuve,Jacques Villeneuve,Canadian,11,1996,1997
barrichello,Rubens Barrichello,Brazilian,11,2000,2009
berger,Gerhard Berger,Austrian,10,1986,1997
