feature,target,pearson_correlation,spearman_correlation,records
grid,finish_position,0.5912,0.5931,3038
grid,is_podium,-0.4940,-0.4960,3038
grid,is_top10,-0.5378,-0.5392,3038
qualifying_position,finish_position,0.6408,0.6410,3034
qualifying_position,is_podium,-0.5209,-0.5208,3034
qualifying_position,is_top10,-0.5844,-0.5845,3034
driver_pre_race_points,finish_position,-0.4609,-0.4950,3038
driver_pre_race_points,is_podium,0.4638,0.4017,3038
driver_pre_race_points,is_top10,0.3966,0.4560,3038
driver_pre_race_rank,finish_position,0.5402,0.5382,3038
driver_pre_race_rank,is_podium,-0.4619,-0.4596,3038
driver_pre_race_rank,is_top10,-0.4910,-0.4899,3038
constructor_pre_race_points,finish_position,-0.4384,-0.4788,3038
constructor_pre_race_points,is_podium,0.4240,0.3831,3038
constructor_pre_race_points,is_top10,0.3836,0.4421,3038
constructor_pre_race_rank,finish_position,0.5335,0.5321,3038
constructor_pre_race_rank,is_podium,-0.4450,-0.4464,3038
constructor_pre_race_rank,is_top10,-0.4863,-0.4844,3038
driver_last3_avg_points,finish_position,-0.5457,-0.5578,3038
driver_last3_avg_points,is_podium,0.5637,0.4805,3038
driver_last3_avg_points,is_top10,0.4619,0.5065,3038
driver_last3_avg_finish_position,finish_position,0.5245,0.5221,3038
driver_last3_avg_finish_position,is_podium,-0.4621,-0.4385,3038
driver_last3_avg_finish_position,is_top10,-0.4713,-0.4782,3038
driver_last3_podium_count,finish_position,-0.4485,-0.4668,3038
driver_last3_podium_count,is_podium,0.5304,0.5152,3038
driver_last3_podium_count,is_top10,0.3563,0.3849,3038
constructor_last3_avg_points,finish_position,-0.5474,-0.5613,3038
constructor_last3_avg_points,is_podium,0.5442,0.4742,3038
constructor_last3_avg_points,is_top10,0.4719,0.5147,3038
constructor_last3_podium_count,finish_position,-0.4838,-0.4979,3038
constructor_last3_podium_count,is_podium,0.5192,0.4943,3038
constructor_last3_podium_count,is_top10,0.4032,0.4297,3038
driver_history_count,finish_position,-0.0434,-0.0454,3038
driver_history_count,is_podium,0.0367,0.0393,3038
driver_history_count,is_top10,0.0382,0.0417,3038
constructor_history_count,finish_position,-0.0246,-0.0249,3038
constructor_history_count,is_podium,0.0226,0.0245,3038
constructor_history_count,is_top10,0.0234,0.0235,3038
missing_qualifying,finish_position,0.0331,0.0331,3038
missing_qualifying,is_podium,-0.0153,-0.0153,3038
missing_qualifying,is_top10,-0.0182,-0.0182,3038
grid_is_zero,finish_position,0.0795,0.0795,3038
grid_is_zero,is_podium,-0.0509,-0.0509,3038
grid_is_zero,is_top10,-0.0717,-0.0717,3038
