grid,records,avg_finish_position,win_rate,podium_rate,top10_rate
1,152,3.4145,0.5263,0.8026,0.9145
2,152,4.0526,0.2237,0.7303,0.9013
3,152,5.2368,0.1184,0.5395,0.8882
4,152,5.7105,0.0395,0.3487,0.8816
5,152,7.3947,0.0132,0.1842,0.7829
6,152,7.8289,0.0263,0.1053,0.8026
7,151,8.6821,0.0066,0.0728,0.7086
8,151,9.9603,0.0066,0.0199,0.6556
9,152,10.1579,0.0066,0.0132,0.5987
10,151,11.2715,0.0199,0.0397,0.5364
11,151,11.4967,0.0000,0.0265,0.4305
12,152,11.8421,0.0000,0.0197,0.3684
13,150,12.8000,0.0000,0.0067,0.3333
14,151,13.6490,0.0066,0.0132,0.2119
15,151,13.4305,0.0000,0.0199,0.2318
16,151,14.2450,0.0000,0.0000,0.1854
17,152,14.4013,0.0066,0.0132,0.1316
18,149,15.0000,0.0000,0.0000,0.1275
19,150,14.5733,0.0000,0.0267,0.1533
20,120,14.7667,0.0000,0.0250,0.1583
