variable,bin,bin_sort,records,podium_rate,top10_rate,avg_finish_position,avg_points
constructor_last3_avg_points,0,1,526,0.0057,0.1540,14.5304,0.6920
constructor_last3_avg_points,0-5,2,970,0.0196,0.3309,12.5948,1.7010
constructor_last3_avg_points,5-10,3,380,0.0579,0.4947,11.1184,3.4079
constructor_last3_avg_points,10-15,4,284,0.1549,0.7113,8.7042,6.2799
constructor_last3_avg_points,15+,5,878,0.4191,0.8292,6.0626,11.7563
constructor_pre_race_rank,1-3,1,1012,0.3844,0.7796,6.7362,10.7297
constructor_pre_race_rank,4-6,2,886,0.0632,0.5372,10.5835,3.8341
constructor_pre_race_rank,7-10,3,1140,0.0096,0.2237,13.7596,1.0167
driver_last3_avg_points,0,1,834,0.0096,0.2062,13.9796,0.9820
driver_last3_avg_points,0-5,2,1082,0.0360,0.4150,11.7754,2.5259
driver_last3_avg_points,5-10,3,495,0.2000,0.7495,8.0364,7.3323
driver_last3_avg_points,10-15,4,325,0.3723,0.8123,6.3938,10.9523
driver_last3_avg_points,15+,5,302,0.6258,0.8742,4.7152,15.4752
driver_pre_race_rank,1-3,1,576,0.4861,0.7899,6.1233,12.4931
driver_pre_race_rank,4-6,2,442,0.2624,0.7873,7.3371,8.7455
driver_pre_race_rank,7-10,3,593,0.0708,0.5818,10.1653,4.4013
driver_pre_race_rank,11+,4,1427,0.0126,0.2607,13.3721,1.2214
