qualifying_position,records,avg_finish_position,win_rate,podium_rate,top10_rate
1,152,3.2961,0.5461,0.8026,0.9211
2,152,4.3487,0.1974,0.6776,0.8947
3,152,5.4342,0.1316,0.5461,0.8684
4,152,5.1316,0.0526,0.3947,0.9145
5,152,7.2105,0.0197,0.2105,0.7961
6,152,7.7434,0.0132,0.0855,0.8026
7,152,8.8026,0.0066,0.0855,0.7105
8,152,9.8224,0.0066,0.0197,0.6513
9,152,10.3947,0.0066,0.0197,0.5987
10,153,11.3725,0.0131,0.0327,0.5163
11,152,11.4276,0.0000,0.0132,0.4408
12,152,11.4276,0.0066,0.0329,0.4211
13,152,12.7829,0.0000,0.0000,0.3289
14,152,13.6711,0.0000,0.0132,0.2105
15,155,13.3871,0.0000,0.0258,0.2258
16,152,13.8882,0.0000,0.0066,0.2303
17,152,14.3224,0.0000,0.0066,0.1447
18,152,14.8158,0.0000,0.0000,0.1184
19,149,15.2953,0.0000,0.0067,0.0738
20,145,15.4207,0.0000,0.0207,0.1241
