experiment_id,season,known_race_count,remaining_race_count,online_repeat_count,form_boost_alpha,driver_points_mae,constructor_points_mae,combined_points_mae,short_history_driver_count,short_history_driver_mae,short_form_driver_count,short_form_driver_mae,driver_champion_actual,driver_champion_predicted,driver_champion_hit,constructor_champion_actual,constructor_champion_predicted,constructor_champion_hit,driver_top3_overlap,constructor_top3_overlap
baseline,2022,5,17,0,0.0000,26.181818,39.600000,32.890909,5,4.400000,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,2,3
online0_boost0.03,2022,5,17,0,0.0300,26.181818,39.600000,32.890909,5,4.400000,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,2,3
online0_boost0.06,2022,5,17,0,0.0600,26.181818,39.600000,32.890909,5,4.400000,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,2,3
online0_boost0.10,2022,5,17,0,0.1000,26.181818,39.600000,32.890909,5,4.400000,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,2,3
online1_boost0.00,2022,5,17,1,0.0000,24.454545,41.800000,33.127273,5,4.400000,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,2,3
online1_boost0.03,2022,5,17,1,0.0300,24.454545,41.800000,33.127273,5,4.400000,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,2,3
online1_boost0.06,2022,5,17,1,0.0600,24.454545,41.800000,33.127273,5,4.400000,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,2,3
online1_boost0.10,2022,5,17,1,0.1000,24.454545,41.800000,33.127273,5,4.400000,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,2,3
online3_boost0.00,2022,5,17,3,0.0000,26.272727,42.400000,34.336364,5,4.400000,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,2,3
online3_boost0.03,2022,5,17,3,0.0300,26.272727,42.400000,34.336364,5,4.400000,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,2,3
online3_boost0.06,2022,5,17,3,0.0600,26.272727,42.400000,34.336364,5,4.400000,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,2,3
online3_boost0.10,2022,5,17,3,0.1000,26.272727,42.400000,34.336364,5,4.400000,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,2,3
baseline,2023,5,17,0,0.0000,31.545455,67.400000,49.472727,6,17.166667,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,3,3
online0_boost0.03,2023,5,17,0,0.0300,31.545455,67.400000,49.472727,6,17.166667,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,3,3
online0_boost0.06,2023,5,17,0,0.0600,31.545455,67.400000,49.472727,6,17.166667,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,3,3
online0_boost0.10,2023,5,17,0,0.1000,31.545455,67.400000,49.472727,6,17.166667,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,3,3
online1_boost0.00,2023,5,17,1,0.0000,30.909091,66.000000,48.454545,6,19.500000,0,,max_verstappen,max_verstappen,1,red_bull,red_bull,1,3,3
