experiment_id,online_repeat_count,form_boost_alpha,adoption_candidate,adoption_reason,season_count,avg_driver_points_mae,avg_constructor_points_mae,avg_combined_points_mae,combined_mae_improvement_vs_baseline,avg_short_history_driver_mae,short_history_mae_improvement_vs_baseline,avg_short_form_driver_mae,short_form_mae_improvement_vs_baseline,driver_champion_hit_rate,constructor_champion_hit_rate,avg_driver_top3_overlap,avg_constructor_top3_overlap
online3_boost0.10,3,0.1000,0,,4,36.570617,75.200000,55.885309,0.521672,25.727976,7.431548,186.000000,-142.000000,0.750000,0.750000,2.500000,2.500000
online0_boost0.10,0,0.1000,0,,4,38.500271,73.350000,55.925135,0.481845,37.204167,-4.044643,47.000000,-3.000000,0.750000,0.750000,2.500000,2.750000
online3_boost0.06,3,0.0600,0,,4,36.903950,75.900000,56.401975,0.005005,27.102976,6.056548,186.000000,-142.000000,0.750000,0.750000,2.500000,2.500000
baseline,0,0.0000,0,,4,37.663961,75.150000,56.406980,0.000000,33.159524,0.000000,44.000000,0.000000,0.750000,0.750000,2.500000,2.500000
online3_boost0.03,3,0.0300,0,,4,36.903950,76.200000,56.551975,-0.144995,26.638691,6.520833,179.000000,-135.000000,0.750000,0.750000,2.500000,2.500000
online1_boost0.10,1,0.1000,0,,4,37.070076,76.100000,56.585038,-0.178058,23.867857,9.291667,58.000000,-14.000000,0.750000,0.750000,2.500000,2.750000
online1_boost0.00,1,0.0000,1,"Conservative choice: improves short-history driver MAE, keeps overall combined MAE within 0.75 points of baseline, and avoids explicit ranking-score boost because boost variants were unstable on short-form samples.",4,36.965909,76.250000,56.607955,-0.200974,24.448214,8.711310,51.000000,-7.000000,0.750000,0.750000,2.500000,2.750000
online1_boost0.03,1,0.0300,0,,4,37.028409,76.350000,56.689205,-0.282224,23.939286,9.220238,51.000000,-7.000000,0.750000,0.750000,2.500000,2.750000
online1_boost0.06,1,0.0600,0,,4,37.070076,76.450000,56.760038,-0.353058,23.814286,9.345238,51.000000,-7.000000,0.750000,0.750000,2.500000,2.750000
online3_boost0.00,3,0.0000,0,,4,37.028950,76.600000,56.814475,-0.407495,26.942262,6.217262,179.000000,-135.000000,0.750000,0.750000,2.500000,2.500000
online0_boost0.06,0,0.0600,0,,4,38.047890,75.750000,56.898945,-0.491964,34.347024,-1.187500,47.000000,-3.000000,0.750000,0.750000,2.500000,2.500000
online0_boost0.03,0,0.0300,0,,4,37.976461,75.950000,56.963231,-0.556250,34.097024,-0.937500,44.000000,0.000000,0.750000,0.750000,2.500000,2.500000
