feature_mode,epoch,training_loss,validation_score
post_qualifying,1,0.370703,0.867989
post_qualifying,2,0.287853,0.888509
post_qualifying,3,0.256184,0.905609
post_qualifying,4,0.230180,0.910397
post_qualifying,5,0.206784,0.915527
post_qualifying,6,0.188240,0.926471
post_qualifying,7,0.172216,0.932285
post_qualifying,8,0.160185,0.927155
post_qualifying,9,0.148104,0.939808
post_qualifying,10,0.137063,0.939466
post_qualifying,11,0.130328,0.943228
post_qualifying,12,0.121442,0.944938
post_qualifying,13,0.113255,0.946990
post_qualifying,14,0.108427,0.951094
post_qualifying,15,0.099798,0.953146
post_qualifying,16,0.094176,0.951436
post_qualifying,17,0.091212,0.951436
post_qualifying,18,0.087328,0.956224
post_qualifying,19,0.080909,0.952120
post_qualifying,20,0.077921,0.954514
post_qualifying,21,0.077885,0.952804
post_qualifying,22,0.071248,0.958618
post_qualifying,23,0.067754,0.956224
post_qualifying,24,0.064480,0.953146
post_qualifying,25,0.062480,0.959986
post_qualifying,26,0.059450,0.958276
post_qualifying,27,0.056900,0.954172
post_qualifying,28,0.054419,0.958276
post_qualifying,29,0.050502,0.955198
post_qualifying,30,0.048623,0.951778
post_qualifying,31,0.049496,0.960328
post_qualifying,32,0.045706,0.953146
post_qualifying,33,0.043768,0.958276
post_qualifying,34,0.043819,0.957250
post_qualifying,35,0.044123,0.959644
post_qualifying,36,0.037627,0.958618
post_qualifying,37,0.036468,0.958276
post_qualifying,38,0.038194,0.959302
post_qualifying,39,0.037564,0.953146
post_qualifying,40,0.034375,0.959644
post_qualifying,41,0.033950,0.956908
post_qualifying,42,0.031294,0.956908
post_qualifying,43,0.034470,0.964090
post_qualifying,44,0.030325,0.963064
post_qualifying,45,0.030352,0.956224
post_qualifying,46,0.028517,0.960328
post_qualifying,47,0.024232,0.961696
post_qualifying,48,0.024424,0.958618
post_qualifying,49,0.022665,0.959986
post_qualifying,50,0.027632,0.951436
post_qualifying,51,0.027595,0.957592
post_qualifying,52,0.032476,0.955198
post_qualifying,53,0.032482,0.960670
post_qualifying,54,0.036671,0.954514
post_qualifying,55,0.028324,0.960670
post_qualifying,56,0.021288,0.966142
post_qualifying,57,0.020089,0.956908
post_qualifying,58,0.022408,0.964090
post_qualifying,59,0.021040,0.962038
post_qualifying,60,0.018886,0.958960
post_qualifying,61,0.020821,0.959986
post_qualifying,62,0.019117,0.963748
post_qualifying,63,0.019827,0.963748
post_qualifying,64,0.015679,0.965800
post_qualifying,65,0.016986,0.961012
post_qualifying,66,0.018472,0.953488
post_qualifying,67,0.018757,0.964432
post_qualifying,68,0.017284,0.962038
post_qualifying,69,0.019821,0.961354
post_qualifying,70,0.024062,0.954172
post_qualifying,71,0.019415,0.962380
post_qualifying,72,0.014215,0.961354
post_qualifying,73,0.014517,0.963064
post_qualifying,74,0.016275,0.953146
post_qualifying,75,0.013769,0.960670
post_qualifying,76,0.013050,0.961012
post_qualifying,77,0.019413,0.956908
post_qualifying,78,0.026632,0.959644
post_qualifying,79,0.030561,0.951778
post_qualifying,80,0.015441,0.954172
post_qualifying,81,0.013714,0.961012
post_qualifying,82,0.011614,0.960328
