feature_mode,epoch,training_loss,validation_score
pre_race,1,0.417006,0.843023
pre_race,2,0.330932,0.861491
pre_race,3,0.300534,0.869699
pre_race,4,0.272221,0.878249
pre_race,5,0.247652,0.891245
pre_race,6,0.226156,0.895349
pre_race,7,0.208808,0.907319
pre_race,8,0.195726,0.904241
pre_race,9,0.180934,0.904583
pre_race,10,0.172740,0.913133
pre_race,11,0.161200,0.913817
pre_race,12,0.152153,0.918605
pre_race,13,0.145566,0.923393
pre_race,14,0.139296,0.922025
pre_race,15,0.132879,0.922709
pre_race,16,0.125199,0.927155
pre_race,17,0.121540,0.928865
pre_race,18,0.113098,0.929549
pre_race,19,0.109504,0.929891
pre_race,20,0.103909,0.933653
pre_race,21,0.100975,0.935021
pre_race,22,0.094582,0.934679
pre_race,23,0.093058,0.931259
pre_race,24,0.087560,0.935705
pre_race,25,0.083598,0.937756
pre_race,26,0.085461,0.934679
pre_race,27,0.079790,0.930917
pre_race,28,0.079014,0.936047
pre_race,29,0.076445,0.935363
pre_race,30,0.072901,0.937415
pre_race,31,0.069386,0.942202
pre_race,32,0.064873,0.941860
pre_race,33,0.066558,0.939124
pre_race,34,0.069609,0.941860
pre_race,35,0.059741,0.941176
pre_race,36,0.061094,0.940834
pre_race,37,0.061256,0.941176
pre_race,38,0.055889,0.944254
pre_race,39,0.053158,0.941518
pre_race,40,0.054059,0.933311
pre_race,41,0.049304,0.945964
pre_race,42,0.049915,0.940834
pre_race,43,0.051685,0.946648
pre_race,44,0.049185,0.946648
pre_race,45,0.045810,0.942544
pre_race,46,0.049440,0.942202
pre_race,47,0.045838,0.943570
pre_race,48,0.043614,0.938440
pre_race,49,0.046381,0.945964
pre_race,50,0.041726,0.941518
pre_race,51,0.039113,0.944938
pre_race,52,0.038678,0.946990
pre_race,53,0.037232,0.943570
pre_race,54,0.037538,0.943912
pre_race,55,0.048552,0.943570
pre_race,56,0.036546,0.947332
pre_race,57,0.033856,0.949384
pre_race,58,0.034103,0.945964
pre_race,59,0.036707,0.944596
pre_race,60,0.034781,0.944254
pre_race,61,0.033207,0.945280
pre_race,62,0.032105,0.944254
pre_race,63,0.027653,0.939124
pre_race,64,0.030398,0.950410
pre_race,65,0.028954,0.947674
pre_race,66,0.027735,0.944254
pre_race,67,0.031818,0.946990
pre_race,68,0.053316,0.940150
pre_race,69,0.048675,0.942202
pre_race,70,0.033181,0.949042
pre_race,71,0.024572,0.952120
pre_race,72,0.026011,0.944596
pre_race,73,0.024564,0.944596
pre_race,74,0.023677,0.948016
pre_race,75,0.025003,0.950068
pre_race,76,0.024202,0.942544
pre_race,77,0.024446,0.944596
pre_race,78,0.023725,0.949726
pre_race,79,0.029511,0.942202
pre_race,80,0.031842,0.948358
pre_race,81,0.027099,0.943570
pre_race,82,0.021266,0.946990
pre_race,83,0.020745,0.946306
pre_race,84,0.024148,0.945622
pre_race,85,0.031237,0.947674
pre_race,86,0.022028,0.951436
pre_race,87,0.019944,0.952804
pre_race,88,0.021435,0.949042
pre_race,89,0.030741,0.951778
pre_race,90,0.018841,0.953830
pre_race,91,0.021416,0.946306
pre_race,92,0.025754,0.935021
pre_race,93,0.023550,0.947332
pre_race,94,0.017963,0.950410
pre_race,95,0.016550,0.948016
pre_race,96,0.020769,0.949726
pre_race,97,0.019659,0.939808
pre_race,98,0.022903,0.951778
pre_race,99,0.021175,0.954172
pre_race,100,0.019128,0.955198
pre_race,101,0.018689,0.950752
pre_race,102,0.017494,0.951778
pre_race,103,0.020743,0.951436
pre_race,104,0.016002,0.951778
pre_race,105,0.021870,0.948700
pre_race,106,0.024261,0.947332
pre_race,107,0.039115,0.945964
pre_race,108,0.023779,0.946990
pre_race,109,0.017465,0.950068
pre_race,110,0.015325,0.953830
pre_race,111,0.013938,0.949726
pre_race,112,0.013233,0.954856
pre_race,113,0.013958,0.952804
pre_race,114,0.014901,0.949726
pre_race,115,0.020795,0.952804
pre_race,116,0.018441,0.950752
pre_race,117,0.015495,0.949042
pre_race,118,0.022322,0.952120
pre_race,119,0.021241,0.944938
pre_race,120,0.015606,0.948700
pre_race,121,0.018001,0.950410
pre_race,122,0.013375,0.949042
pre_race,123,0.017091,0.952462
pre_race,124,0.016971,0.947674
pre_race,125,0.020683,0.952462
pre_race,126,0.019067,0.945964
