feature_mode,model,epoch,training_loss,validation_score
post_qualifying,tabnet_neural_network,1,0.724903,0.879372
post_qualifying,tabnet_neural_network,2,0.437406,0.903020
post_qualifying,tabnet_neural_network,3,0.396469,0.907685
post_qualifying,tabnet_neural_network,4,0.370966,0.915928
post_qualifying,tabnet_neural_network,5,0.360475,0.915577
post_qualifying,tabnet_neural_network,6,0.356173,0.913794
post_qualifying,tabnet_neural_network,7,0.343431,0.915779
post_qualifying,tabnet_neural_network,8,0.352795,0.921501
post_qualifying,tabnet_neural_network,9,0.343724,0.924344
post_qualifying,tabnet_neural_network,10,0.338256,0.920860
post_qualifying,tabnet_neural_network,11,0.334469,0.921617
post_qualifying,tabnet_neural_network,12,0.331772,0.919008
post_qualifying,tabnet_neural_network,13,0.329568,0.920263
post_qualifying,tabnet_neural_network,14,0.330550,0.917399
post_qualifying,tabnet_neural_network,15,0.326450,0.918937
post_qualifying,tabnet_neural_network,16,0.320328,0.917183
post_qualifying,tabnet_neural_network,17,0.322673,0.918924
post_qualifying,tabnet_neural_network,18,0.319902,0.918114
post_qualifying,tabnet_neural_network,19,0.315847,0.918370
post_qualifying,tabnet_neural_network,20,0.318986,0.919882
post_qualifying,tabnet_neural_network,21,0.316109,0.920534
post_qualifying,tabnet_neural_network,22,0.317594,0.914237
post_qualifying,tabnet_neural_network,23,0.313296,0.918954
post_qualifying,tabnet_neural_network,24,0.319456,0.916172
post_qualifying,tabnet_neural_network,25,0.316285,0.920099
post_qualifying,tabnet_neural_network,26,0.315291,0.920287
post_qualifying,tabnet_neural_network,27,0.313661,0.920542
post_qualifying,tabnet_neural_network,28,0.306514,0.916529
post_qualifying,tabnet_neural_network,29,0.313039,0.920319
post_qualifying,tabnet_neural_network,30,0.304368,0.914119
post_qualifying,tabnet_neural_network,31,0.303882,0.911937
post_qualifying,tabnet_neural_network,32,0.307217,0.918665
post_qualifying,tabnet_neural_network,33,0.310059,0.916197
post_qualifying,tabnet_neural_network,34,0.296213,0.911092
post_qualifying,tabnet_neural_network,35,0.292256,0.915208
post_qualifying,tabnet_neural_network,36,0.291103,0.914418
post_qualifying,tabnet_neural_network,37,0.298785,0.910943
post_qualifying,tabnet_neural_network,38,0.291178,0.888170
post_qualifying,tabnet_neural_network,39,0.292256,0.911939
