feature_mode,model,epoch,training_loss,validation_score
post_qualifying,upgraded_mlp_neural_network,1,0.346909,0.886457
post_qualifying,upgraded_mlp_neural_network,2,0.257557,0.902873
post_qualifying,upgraded_mlp_neural_network,3,0.211205,0.914843
post_qualifying,upgraded_mlp_neural_network,4,0.182117,0.925103
post_qualifying,upgraded_mlp_neural_network,5,0.150362,0.941176
post_qualifying,upgraded_mlp_neural_network,6,0.133613,0.938782
post_qualifying,upgraded_mlp_neural_network,7,0.117817,0.942202
post_qualifying,upgraded_mlp_neural_network,8,0.101277,0.942886
post_qualifying,upgraded_mlp_neural_network,9,0.090809,0.949042
post_qualifying,upgraded_mlp_neural_network,10,0.083277,0.950068
post_qualifying,upgraded_mlp_neural_network,11,0.076889,0.950068
post_qualifying,upgraded_mlp_neural_network,12,0.065674,0.949726
post_qualifying,upgraded_mlp_neural_network,13,0.068760,0.954856
post_qualifying,upgraded_mlp_neural_network,14,0.061897,0.951778
post_qualifying,upgraded_mlp_neural_network,15,0.053894,0.949042
post_qualifying,upgraded_mlp_neural_network,16,0.046851,0.954856
post_qualifying,upgraded_mlp_neural_network,17,0.045563,0.958618
post_qualifying,upgraded_mlp_neural_network,18,0.039667,0.955198
post_qualifying,upgraded_mlp_neural_network,19,0.041389,0.957250
post_qualifying,upgraded_mlp_neural_network,20,0.033970,0.956224
post_qualifying,upgraded_mlp_neural_network,21,0.028770,0.955540
post_qualifying,upgraded_mlp_neural_network,22,0.033534,0.954514
post_qualifying,upgraded_mlp_neural_network,23,0.051094,0.951436
post_qualifying,upgraded_mlp_neural_network,24,0.036441,0.959644
post_qualifying,upgraded_mlp_neural_network,25,0.029796,0.960670
post_qualifying,upgraded_mlp_neural_network,26,0.024273,0.958276
post_qualifying,upgraded_mlp_neural_network,27,0.022818,0.961696
post_qualifying,upgraded_mlp_neural_network,28,0.020200,0.957934
post_qualifying,upgraded_mlp_neural_network,29,0.020945,0.957592
post_qualifying,upgraded_mlp_neural_network,30,0.018261,0.957250
post_qualifying,upgraded_mlp_neural_network,31,0.023392,0.941860
post_qualifying,upgraded_mlp_neural_network,32,0.039245,0.953488
post_qualifying,upgraded_mlp_neural_network,33,0.024981,0.959644
post_qualifying,upgraded_mlp_neural_network,34,0.016262,0.957250
post_qualifying,upgraded_mlp_neural_network,35,0.015668,0.958960
post_qualifying,upgraded_mlp_neural_network,36,0.022004,0.952120
post_qualifying,upgraded_mlp_neural_network,37,0.027208,0.949726
post_qualifying,upgraded_mlp_neural_network,38,0.030099,0.961696
post_qualifying,upgraded_mlp_neural_network,39,0.023659,0.961354
post_qualifying,upgraded_mlp_neural_network,40,0.021457,0.956224
post_qualifying,upgraded_mlp_neural_network,41,0.021226,0.962722
post_qualifying,upgraded_mlp_neural_network,42,0.013800,0.955540
post_qualifying,upgraded_mlp_neural_network,43,0.011465,0.962380
post_qualifying,upgraded_mlp_neural_network,44,0.015919,0.957934
post_qualifying,upgraded_mlp_neural_network,45,0.013988,0.954514
post_qualifying,upgraded_mlp_neural_network,46,0.029161,0.948358
