feature_mode,model,epoch,training_loss,validation_score
pre_race,upgraded_mlp_neural_network,1,0.380234,0.856703
pre_race,upgraded_mlp_neural_network,2,0.302381,0.882011
pre_race,upgraded_mlp_neural_network,3,0.250874,0.890903
pre_race,upgraded_mlp_neural_network,4,0.213382,0.909713
pre_race,upgraded_mlp_neural_network,5,0.188360,0.921341
pre_race,upgraded_mlp_neural_network,6,0.166576,0.922025
pre_race,upgraded_mlp_neural_network,7,0.146217,0.917921
pre_race,upgraded_mlp_neural_network,8,0.137390,0.925445
pre_race,upgraded_mlp_neural_network,9,0.123725,0.936389
pre_race,upgraded_mlp_neural_network,10,0.112606,0.939124
pre_race,upgraded_mlp_neural_network,11,0.097732,0.941860
pre_race,upgraded_mlp_neural_network,12,0.092574,0.935363
pre_race,upgraded_mlp_neural_network,13,0.088934,0.939808
pre_race,upgraded_mlp_neural_network,14,0.080977,0.934337
pre_race,upgraded_mlp_neural_network,15,0.075156,0.932285
pre_race,upgraded_mlp_neural_network,16,0.065668,0.937415
pre_race,upgraded_mlp_neural_network,17,0.066952,0.937415
pre_race,upgraded_mlp_neural_network,18,0.067288,0.935705
pre_race,upgraded_mlp_neural_network,19,0.061044,0.933311
pre_race,upgraded_mlp_neural_network,20,0.053364,0.940834
pre_race,upgraded_mlp_neural_network,21,0.049607,0.947332
pre_race,upgraded_mlp_neural_network,22,0.060511,0.937415
pre_race,upgraded_mlp_neural_network,23,0.044793,0.951436
pre_race,upgraded_mlp_neural_network,24,0.040281,0.941176
pre_race,upgraded_mlp_neural_network,25,0.046197,0.935363
pre_race,upgraded_mlp_neural_network,26,0.042262,0.946990
pre_race,upgraded_mlp_neural_network,27,0.033469,0.944938
pre_race,upgraded_mlp_neural_network,28,0.050472,0.938782
pre_race,upgraded_mlp_neural_network,29,0.041724,0.947674
pre_race,upgraded_mlp_neural_network,30,0.038923,0.943228
pre_race,upgraded_mlp_neural_network,31,0.035978,0.937756
pre_race,upgraded_mlp_neural_network,32,0.029534,0.951778
pre_race,upgraded_mlp_neural_network,33,0.026147,0.940492
pre_race,upgraded_mlp_neural_network,34,0.031181,0.943228
pre_race,upgraded_mlp_neural_network,35,0.029630,0.946648
pre_race,upgraded_mlp_neural_network,36,0.026128,0.951778
pre_race,upgraded_mlp_neural_network,37,0.024806,0.942544
pre_race,upgraded_mlp_neural_network,38,0.036174,0.950410
pre_race,upgraded_mlp_neural_network,39,0.038673,0.937756
pre_race,upgraded_mlp_neural_network,40,0.028205,0.949726
pre_race,upgraded_mlp_neural_network,41,0.028702,0.946990
pre_race,upgraded_mlp_neural_network,42,0.022764,0.956908
pre_race,upgraded_mlp_neural_network,43,0.022105,0.947674
pre_race,upgraded_mlp_neural_network,44,0.022512,0.948358
pre_race,upgraded_mlp_neural_network,45,0.031389,0.948358
pre_race,upgraded_mlp_neural_network,46,0.023986,0.941176
pre_race,upgraded_mlp_neural_network,47,0.031476,0.948700
pre_race,upgraded_mlp_neural_network,48,0.032048,0.951094
pre_race,upgraded_mlp_neural_network,49,0.021295,0.951778
pre_race,upgraded_mlp_neural_network,50,0.016109,0.950752
pre_race,upgraded_mlp_neural_network,51,0.017135,0.948016
pre_race,upgraded_mlp_neural_network,52,0.022906,0.950410
pre_race,upgraded_mlp_neural_network,53,0.026730,0.952462
pre_race,upgraded_mlp_neural_network,54,0.024005,0.954514
pre_race,upgraded_mlp_neural_network,55,0.022994,0.950410
pre_race,upgraded_mlp_neural_network,56,0.021319,0.949042
pre_race,upgraded_mlp_neural_network,57,0.022045,0.948016
pre_race,upgraded_mlp_neural_network,58,0.019582,0.951778
pre_race,upgraded_mlp_neural_network,59,0.020445,0.952120
pre_race,upgraded_mlp_neural_network,60,0.017224,0.951436
pre_race,upgraded_mlp_neural_network,61,0.014195,0.945280
pre_race,upgraded_mlp_neural_network,62,0.022840,0.955540
pre_race,upgraded_mlp_neural_network,63,0.015930,0.949384
pre_race,upgraded_mlp_neural_network,64,0.034708,0.945622
pre_race,upgraded_mlp_neural_network,65,0.026021,0.952462
pre_race,upgraded_mlp_neural_network,66,0.014558,0.955882
pre_race,upgraded_mlp_neural_network,67,0.022698,0.942202
pre_race,upgraded_mlp_neural_network,68,0.023037,0.948700
pre_race,upgraded_mlp_neural_network,69,0.015478,0.956566
pre_race,upgraded_mlp_neural_network,70,0.012486,0.949726
pre_race,upgraded_mlp_neural_network,71,0.014513,0.951094
pre_race,upgraded_mlp_neural_network,72,0.011216,0.954514
pre_race,upgraded_mlp_neural_network,73,0.012523,0.953830
pre_race,upgraded_mlp_neural_network,74,0.028124,0.948700
pre_race,upgraded_mlp_neural_network,75,0.021645,0.948016
pre_race,upgraded_mlp_neural_network,76,0.016438,0.952120
pre_race,upgraded_mlp_neural_network,77,0.016814,0.945964
pre_race,upgraded_mlp_neural_network,78,0.020552,0.943228
