season,known_race_count,remaining_race_count,feedback_weight,driver_points_mae,constructor_points_mae,combined_points_mae,driver_champion_actual,driver_champion_predicted,driver_champion_hit,constructor_champion_actual,constructor_champion_predicted,constructor_champion_hit,driver_top3_overlap,constructor_top3_overlap,calibration_train_end_season,calibration_season
2022,5,17,0.00,26.636364,47.600000,37.118182,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,2020,2021
2022,5,17,0.20,25.909091,42.400000,34.154545,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,2,3,2020,2021
2022,5,17,0.35,25.272727,41.400000,33.336364,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,2,3,2020,2021
2022,5,17,0.50,24.454545,41.800000,33.127273,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,2,3,2020,2021
2022,5,17,0.75,25.272727,44.200000,34.736364,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,2020,2021
2022,5,17,1.00,26.727273,43.200000,34.963636,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,2,3,2020,2021
2023,5,17,0.00,32.545455,71.600000,52.072727,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,2,2021,2022
2023,5,17,0.20,31.727273,67.400000,49.563636,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,2021,2022
2023,5,17,0.35,31.272727,65.800000,48.536364,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,2021,2022
2023,5,17,0.50,30.909091,66.000000,48.454545,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,2021,2022
2023,5,17,0.75,32.545455,70.800000,51.672727,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,2021,2022
2023,5,17,1.00,30.818182,65.800000,48.309091,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,2021,2022
2024,5,19,0.00,47.833333,112.000000,79.916667,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,3,2022,2023
2024,5,19,0.20,49.500000,112.000000,80.750000,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,3,2022,2023
2024,5,19,0.35,49.000000,116.200000,82.600000,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,3,2022,2023
2024,5,19,0.50,47.166667,112.200000,79.683333,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,3,2022,2023
2024,5,19,0.75,44.333333,105.800000,75.066667,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,3,2022,2023
2024,5,19,1.00,41.583333,100.000000,70.791667,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,3,2022,2023
2025,5,19,0.00,35.619048,66.600000,51.109524,Lando Norris,Oscar Piastri,0,McLaren,McLaren,1,3,2,2023,2024
2025,5,19,0.20,43.619048,91.400000,67.509524,Lando Norris,Max Verstappen,0,McLaren,Ferrari,0,2,2,2023,2024
2025,5,19,0.35,46.952381,98.600000,72.776190,Lando Norris,Max Verstappen,0,McLaren,McLaren,1,2,2,2023,2024
2025,5,19,0.50,45.333333,85.000000,65.166667,Lando Norris,Max Verstappen,0,McLaren,McLaren,1,3,2,2023,2024
2025,5,19,0.75,41.047619,81.400000,61.223810,Lando Norris,Max Verstappen,0,McLaren,McLaren,1,3,2,2023,2024
2025,5,19,1.00,41.142857,84.200000,62.671429,Lando Norris,Max Verstappen,0,McLaren,McLaren,1,3,2,2023,2024
