feature_mode,model,test_years,avg_f1,avg_roc_auc,avg_race_top3_precision,avg_correct_podium_drivers_per_race
post_qualifying,calibrated_random_forest,"2022,2023,2024,2025",0.696494,0.936951,0.655303,1.965909
post_qualifying,random_forest,"2022,2023,2024,2025",0.692810,0.935348,0.647727,1.943182
post_qualifying,hist_gradient_boosting,"2022,2023,2024,2025",0.685575,0.934987,0.643624,1.930871
post_qualifying,logistic_regression,"2022,2023,2024,2025",0.680998,0.927296,0.618371,1.855114
post_qualifying,extra_trees,"2022,2023,2024,2025",0.652324,0.923711,0.614583,1.843750
pre_race,calibrated_random_forest,"2022,2023,2024,2025",0.609205,0.895061,0.531882,1.595644
pre_race,random_forest,"2022,2023,2024,2025",0.608871,0.895220,0.546402,1.639205
pre_race,extra_trees,"2022,2023,2024,2025",0.602731,0.895150,0.550505,1.651515
pre_race,hist_gradient_boosting,"2022,2023,2024,2025",0.594765,0.890231,0.535038,1.605114
pre_race,logistic_regression,"2022,2023,2024,2025",0.588583,0.892659,0.574811,1.724432
