feature_mode,model,train_seasons,test_season,train_records,test_records,positive_train_records,positive_test_records,best_threshold,accuracy,precision,recall,f1,roc_auc,accuracy_at_0_5,precision_at_0_5,recall_at_0_5,f1_at_0_5,race_top3_precision,avg_correct_podium_drivers_per_race,true_negative,false_positive,false_negative,true_positive
post_qualifying,logistic_regression,2003-2024,2025,8529,479,1221,72,0.720000,0.912317,0.682927,0.777778,0.727273,0.931682,0.862213,0.524590,0.888889,0.659794,0.694444,2.083333,381,26,16,56
post_qualifying,random_forest,2003-2024,2025,8529,479,1221,72,0.700000,0.908142,0.645833,0.861111,0.738095,0.944376,0.853862,0.507692,0.916667,0.653465,0.694444,2.083333,373,34,10,62
post_qualifying,extra_trees,2003-2024,2025,8529,479,1221,72,0.720000,0.897704,0.638554,0.736111,0.683871,0.931477,0.816284,0.445946,0.916667,0.600000,0.666667,2.000000,377,30,19,53
post_qualifying,calibrated_random_forest,2003-2024,2025,8529,479,1221,72,0.460000,0.910230,0.655914,0.847222,0.739394,0.945980,0.910230,0.670588,0.791667,0.726115,0.708333,2.125000,375,32,11,61
post_qualifying,hist_gradient_boosting,2003-2024,2025,8529,479,1221,72,0.750000,0.914405,0.686747,0.791667,0.735484,0.947345,0.876827,0.554622,0.916667,0.691099,0.722222,2.166667,381,26,15,57
pre_race,logistic_regression,2003-2024,2025,8529,479,1221,72,0.630000,0.855950,0.513274,0.805556,0.627027,0.904040,0.835073,0.473684,0.875000,0.614634,0.652778,1.958333,352,55,14,58
pre_race,random_forest,2003-2024,2025,8529,479,1221,72,0.720000,0.876827,0.568421,0.750000,0.646707,0.903324,0.807933,0.435065,0.930556,0.592920,0.583333,1.750000,366,41,18,54
pre_race,extra_trees,2003-2024,2025,8529,479,1221,72,0.640000,0.847599,0.495935,0.847222,0.625641,0.899297,0.791232,0.412500,0.916667,0.568966,0.583333,1.750000,345,62,11,61
pre_race,calibrated_random_forest,2003-2024,2025,8529,479,1221,72,0.430000,0.866388,0.539216,0.763889,0.632184,0.904211,0.870564,0.565789,0.597222,0.581081,0.583333,1.750000,360,47,17,55
pre_race,hist_gradient_boosting,2003-2024,2025,8529,479,1221,72,0.580000,0.839248,0.480916,0.875000,0.620690,0.899570,0.805846,0.430464,0.902778,0.582960,0.611111,1.833333,339,68,9,63
