feature_mode,model,train_seasons,test_season,train_records,test_records,positive_train_records,positive_test_records,best_threshold,accuracy,precision,recall,f1,roc_auc,accuracy_at_0_5,precision_at_0_5,recall_at_0_5,f1_at_0_5,race_top3_precision,avg_correct_podium_drivers_per_race,true_negative,false_positive,false_negative,true_positive
post_qualifying,logistic_regression,2003-2021,2022,7170,440,1017,66,0.680000,0.886364,0.576923,0.909091,0.705882,0.944498,0.843182,0.488889,1.000000,0.656716,0.606061,1.818182,330,44,6,60
post_qualifying,random_forest,2003-2021,2022,7170,440,1017,66,0.600000,0.881818,0.563636,0.939394,0.704545,0.945997,0.863636,0.524194,0.984848,0.684211,0.681818,2.045455,326,48,4,62
post_qualifying,extra_trees,2003-2021,2022,7170,440,1017,66,0.680000,0.870455,0.542056,0.878788,0.670520,0.937530,0.845455,0.492424,0.984848,0.656566,0.606061,1.818182,325,49,8,58
post_qualifying,calibrated_random_forest,2003-2021,2022,7170,440,1017,66,0.380000,0.895455,0.608696,0.848485,0.708861,0.946605,0.897727,0.640000,0.727273,0.680851,0.696970,2.090909,338,36,10,56
post_qualifying,hist_gradient_boosting,2003-2021,2022,7170,440,1017,66,0.510000,0.886364,0.576923,0.909091,0.705882,0.945066,0.884091,0.571429,0.909091,0.701754,0.621212,1.863636,330,44,6,60
pre_race,logistic_regression,2003-2021,2022,7170,440,1017,66,0.400000,0.829545,0.467626,0.984848,0.634146,0.915006,0.827273,0.462121,0.924242,0.616162,0.560606,1.681818,300,74,1,65
pre_race,random_forest,2003-2021,2022,7170,440,1017,66,0.610000,0.854545,0.508197,0.939394,0.659574,0.918409,0.838636,0.480916,0.954545,0.639594,0.545455,1.636364,314,60,4,62
pre_race,extra_trees,2003-2021,2022,7170,440,1017,66,0.610000,0.850000,0.500000,0.939394,0.652632,0.917639,0.838636,0.481203,0.969697,0.643216,0.545455,1.636364,312,62,4,62
pre_race,calibrated_random_forest,2003-2021,2022,7170,440,1017,66,0.230000,0.850000,0.500000,0.939394,0.652632,0.918125,0.861364,0.536232,0.560606,0.548148,0.515152,1.545455,312,62,4,62
pre_race,hist_gradient_boosting,2003-2021,2022,7170,440,1017,66,0.550000,0.845455,0.491935,0.924242,0.642105,0.910833,0.840909,0.484127,0.924242,0.635417,0.515152,1.545455,311,63,5,61
post_qualifying,logistic_regression,2003-2022,2023,7610,440,1083,66,0.620000,0.856818,0.516484,0.712121,0.598726,0.908078,0.820455,0.442478,0.757576,0.558659,0.575758,1.727273,330,44,19,47
post_qualifying,random_forest,2003-2022,2023,7610,440,1083,66,0.740000,0.897727,0.714286,0.530303,0.608696,0.915208,0.813636,0.437500,0.848485,0.577320,0.575758,1.727273,360,14,31,35
post_qualifying,extra_trees,2003-2022,2023,7610,440,1083,66,0.740000,0.895455,0.700000,0.530303,0.603448,0.903743,0.765909,0.379085,0.878788,0.529680,0.560606,1.681818,359,15,31,35
post_qualifying,calibrated_random_forest,2003-2022,2023,7610,440,1083,66,0.450000,0.900000,0.720000,0.545455,0.620690,0.917153,0.890909,0.704545,0.469697,0.563636,0.590909,1.772727,360,14,30,36
post_qualifying,hist_gradient_boosting,2003-2022,2023,7610,440,1083,66,0.390000,0.831818,0.468254,0.893939,0.614583,0.917801,0.836364,0.472222,0.772727,0.586207,0.606061,1.818182,307,67,7,59
pre_race,logistic_regression,2003-2022,2023,7610,440,1083,66,0.860000,0.886364,0.710526,0.409091,0.519231,0.867242,0.777273,0.362069,0.636364,0.461538,0.530303,1.590909,363,11,39,27
pre_race,random_forest,2003-2022,2023,7610,440,1083,66,0.750000,0.856818,0.522388,0.530303,0.526316,0.866675,0.750000,0.353333,0.803030,0.490741,0.515152,1.545455,342,32,31,35
pre_race,extra_trees,2003-2022,2023,7610,440,1083,66,0.730000,0.861364,0.538462,0.530303,0.534351,0.873238,0.745455,0.350649,0.818182,0.490909,0.545455,1.636364,344,30,31,35
pre_race,calibrated_random_forest,2003-2022,2023,7610,440,1083,66,0.430000,0.859091,0.530303,0.530303,0.530303,0.868133,0.872727,0.604167,0.439394,0.508772,0.515152,1.545455,343,31,31,35
pre_race,hist_gradient_boosting,2003-2022,2023,7610,440,1083,66,0.730000,0.847727,0.493151,0.545455,0.517986,0.853103,0.772727,0.369231,0.727273,0.489796,0.500000,1.500000,337,37,30,36
post_qualifying,logistic_regression,2003-2023,2024,8050,479,1149,72,0.710000,0.881002,0.572816,0.819444,0.674286,0.924891,0.826722,0.462069,0.930556,0.617512,0.597222,1.791667,363,44,13,59
post_qualifying,random_forest,2003-2023,2024,8050,479,1149,72,0.720000,0.906054,0.651685,0.805556,0.720497,0.934719,0.826722,0.463087,0.958333,0.624434,0.638889,1.916667,376,31,14,58
post_qualifying,extra_trees,2003-2023,2024,8050,479,1149,72,0.660000,0.864301,0.529915,0.861111,0.656085,0.923287,0.787056,0.411765,0.972222,0.578512,0.638889,1.916667,352,55,10,62
post_qualifying,calibrated_random_forest,2003-2023,2024,8050,479,1149,72,0.410000,0.899791,0.625000,0.833333,0.714286,0.938200,0.897704,0.649351,0.694444,0.671141,0.638889,1.916667,371,36,12,60
post_qualifying,hist_gradient_boosting,2003-2023,2024,8050,479,1149,72,0.720000,0.891441,0.613636,0.750000,0.675000,0.925880,0.860125,0.520325,0.888889,0.656410,0.597222,1.791667,373,34,18,54
pre_race,logistic_regression,2003-2023,2024,8050,479,1149,72,0.670000,0.832985,0.466102,0.763889,0.578947,0.886295,0.776618,0.396450,0.930556,0.556017,0.569444,1.708333,344,63,17,55
pre_race,random_forest,2003-2023,2024,8050,479,1149,72,0.670000,0.847599,0.495726,0.805556,0.613757,0.892711,0.766180,0.383721,0.916667,0.540984,0.555556,1.666667,348,59,14,58
pre_race,extra_trees,2003-2023,2024,8050,479,1149,72,0.710000,0.858038,0.520000,0.722222,0.604651,0.890288,0.759916,0.379888,0.944444,0.541833,0.541667,1.625000,359,48,20,52
pre_race,calibrated_random_forest,2003-2023,2024,8050,479,1149,72,0.310000,0.847599,0.495868,0.833333,0.621762,0.891141,0.851775,0.507246,0.486111,0.496454,0.555556,1.666667,346,61,12,60
pre_race,hist_gradient_boosting,2003-2023,2024,8050,479,1149,72,0.650000,0.839248,0.478632,0.777778,0.592593,0.893496,0.782881,0.401235,0.902778,0.555556,0.541667,1.625000,346,61,16,56
post_qualifying,logistic_regression,2003-2024,2025,8529,479,1221,72,0.750000,0.918580,0.703704,0.791667,0.745098,0.931716,0.860125,0.520325,0.888889,0.656410,0.694444,2.083333,383,24,15,57
post_qualifying,random_forest,2003-2024,2025,8529,479,1221,72,0.720000,0.912317,0.670455,0.819444,0.737500,0.945468,0.853862,0.507692,0.916667,0.653465,0.694444,2.083333,378,29,13,59
post_qualifying,extra_trees,2003-2024,2025,8529,479,1221,72,0.710000,0.893528,0.620690,0.750000,0.679245,0.930283,0.816284,0.445946,0.916667,0.600000,0.652778,1.958333,374,33,18,54
post_qualifying,calibrated_random_forest,2003-2024,2025,8529,479,1221,72,0.420000,0.914405,0.678161,0.819444,0.742138,0.945844,0.912317,0.702703,0.722222,0.712329,0.694444,2.083333,379,28,13,59
post_qualifying,hist_gradient_boosting,2003-2024,2025,8529,479,1221,72,0.750000,0.916493,0.686047,0.819444,0.746835,0.951201,0.872651,0.545455,0.916667,0.683938,0.750000,2.250000,380,27,13,59
pre_race,logistic_regression,2003-2024,2025,8529,479,1221,72,0.460000,0.835073,0.474453,0.902778,0.622010,0.902095,0.835073,0.473282,0.861111,0.610837,0.638889,1.916667,335,72,7,65
pre_race,random_forest,2003-2024,2025,8529,479,1221,72,0.690000,0.868476,0.544554,0.763889,0.635838,0.903085,0.805846,0.430464,0.902778,0.582960,0.569444,1.708333,361,46,17,55
pre_race,extra_trees,2003-2024,2025,8529,479,1221,72,0.630000,0.843424,0.488000,0.847222,0.619289,0.899434,0.797495,0.420382,0.916667,0.576419,0.569444,1.708333,343,64,11,61
pre_race,calibrated_random_forest,2003-2024,2025,8529,479,1221,72,0.270000,0.851775,0.504132,0.847222,0.632124,0.902846,0.872651,0.587302,0.513889,0.548148,0.541667,1.625000,347,60,11,61
pre_race,hist_gradient_boosting,2003-2024,2025,8529,479,1221,72,0.650000,0.858038,0.518182,0.791667,0.626374,0.903494,0.803758,0.427632,0.902778,0.580357,0.583333,1.750000,354,53,15,57
