target,feature_mode,model,feature,importance_type,importance,abs_importance
points,post_qualifying,catboost_regressor,qualifying_position,feature_importance,34.715508,34.715508
points,post_qualifying,catboost_regressor,grid,feature_importance,15.915063,15.915063
points,post_qualifying,catboost_regressor,constructor_last3_avg_points,feature_importance,6.708465,6.708465
points,post_qualifying,catboost_regressor,driver_last3_avg_points,feature_importance,6.428003,6.428003
points,post_qualifying,catboost_regressor,constructor_pre_race_rank,feature_importance,4.548074,4.548074
points,post_qualifying,catboost_regressor,driver_last3_podium_count,feature_importance,3.953664,3.953664
points,post_qualifying,catboost_regressor,driver_pre_race_points,feature_importance,3.654408,3.654408
points,post_qualifying,catboost_regressor,driver_pre_race_rank,feature_importance,2.886411,2.886411
points,post_qualifying,catboost_regressor,constructor_pre_race_points,feature_importance,2.206689,2.206689
points,post_qualifying,catboost_regressor,driver_last3_avg_finish_position,feature_importance,2.117171,2.117171
points,post_qualifying,catboost_regressor,constructor_last3_podium_count,feature_importance,1.777501,1.777501
points,post_qualifying,catboost_regressor,circuit_history_pole_win_rate,feature_importance,1.593683,1.593683
points,post_qualifying,catboost_regressor,circuit_history_large_gain_rate,feature_importance,1.477315,1.477315
points,post_qualifying,catboost_regressor,driver_id=alonso,feature_importance,1.151055,1.151055
points,post_qualifying,catboost_regressor,circuit_history_front3_podium_rate,feature_importance,1.091330,1.091330
points,post_qualifying,catboost_regressor,constructor_id=mclaren,feature_importance,0.994466,0.994466
points,post_qualifying,catboost_regressor,circuit_history_non_front_row_winner_rate,feature_importance,0.860952,0.860952
points,post_qualifying,catboost_regressor,circuit_history_avg_abs_position_change,feature_importance,0.830078,0.830078
points,post_qualifying,catboost_regressor,driver_id=hamilton,feature_importance,0.810898,0.810898
points,post_qualifying,catboost_regressor,driver_id=max_verstappen,feature_importance,0.747306,0.747306
points,post_qualifying,catboost_regressor,circuit_history_race_count,feature_importance,0.657560,0.657560
points,post_qualifying,catboost_regressor,circuit_history_avg_position_change,feature_importance,0.619187,0.619187
points,post_qualifying,catboost_regressor,driver_id=michael_schumacher,feature_importance,0.395379,0.395379
points,post_qualifying,catboost_regressor,constructor_id=ferrari,feature_importance,0.332149,0.332149
points,post_qualifying,catboost_regressor,driver_id=button,feature_importance,0.313557,0.313557
points,post_qualifying,catboost_regressor,constructor_id=red_bull,feature_importance,0.254617,0.254617
points,post_qualifying,catboost_regressor,grid_is_zero,feature_importance,0.236540,0.236540
points,post_qualifying,catboost_regressor,circuit_id=indianapolis,feature_importance,0.227711,0.227711
points,post_qualifying,catboost_regressor,constructor_id=mercedes,feature_importance,0.217329,0.217329
points,post_qualifying,catboost_regressor,driver_id=trulli,feature_importance,0.204979,0.204979
