feature_mode,model,train_seasons,test_season,train_records,test_records,mae,rmse,r2,mean_actual_points,mean_predicted_points,total_actual_points,total_predicted_points
post_qualifying,ridge_regression,2003-2024,2025,8529,479,3.008879,4.536286,0.600441,5.060543,4.865643,2424.000000,2330.642992
post_qualifying,random_forest_regressor,2003-2024,2025,8529,479,2.823295,4.146064,0.666227,5.060543,5.087248,2424.000000,2436.791693
post_qualifying,extra_trees_regressor,2003-2024,2025,8529,479,2.906889,4.207011,0.656342,5.060543,4.988796,2424.000000,2389.633442
post_qualifying,hist_gradient_boosting_regressor,2003-2024,2025,8529,479,2.828464,4.158241,0.664263,5.060543,5.060298,2424.000000,2423.882532
post_qualifying,catboost_regressor,2003-2024,2025,8529,479,2.808622,4.089592,0.675257,5.060543,5.143170,2424.000000,2463.578403
post_qualifying,lightgbm_regressor,2003-2024,2025,8529,479,2.870815,4.215437,0.654964,5.060543,5.069599,2424.000000,2428.337871
post_qualifying,xgboost_regressor,2003-2024,2025,8529,479,2.861372,4.226485,0.653153,5.060543,5.143434,2424.000000,2463.704834
post_qualifying,mlp_regressor,2003-2024,2025,8529,479,2.983086,4.516450,0.603928,5.060543,4.693567,2424.000000,2248.218542
post_qualifying,tabnet_regressor,2003-2024,2025,8529,479,3.396623,5.173411,0.480323,5.060543,4.660398,2424.000000,2232.330566
pre_race,ridge_regression,2003-2024,2025,8529,479,3.562529,5.167901,0.481429,5.060543,4.572047,2424.000000,2190.010484
pre_race,random_forest_regressor,2003-2024,2025,8529,479,3.814740,5.220844,0.470750,5.060543,5.237814,2424.000000,2508.912798
pre_race,extra_trees_regressor,2003-2024,2025,8529,479,3.882864,5.306596,0.453221,5.060543,5.137677,2424.000000,2460.947250
pre_race,hist_gradient_boosting_regressor,2003-2024,2025,8529,479,3.818331,5.342290,0.445841,5.060543,5.281787,2424.000000,2529.976153
pre_race,catboost_regressor,2003-2024,2025,8529,479,3.739965,5.170622,0.480883,5.060543,5.255131,2424.000000,2517.207613
pre_race,lightgbm_regressor,2003-2024,2025,8529,479,3.838439,5.393799,0.435103,5.060543,5.248631,2424.000000,2514.094125
pre_race,xgboost_regressor,2003-2024,2025,8529,479,3.792671,5.308716,0.452784,5.060543,5.242353,2424.000000,2511.087158
pre_race,mlp_regressor,2003-2024,2025,8529,479,3.676005,5.218919,0.471140,5.060543,4.940794,2424.000000,2366.640493
pre_race,tabnet_regressor,2003-2024,2025,8529,479,4.064264,6.036881,0.292372,5.060543,5.176979,2424.000000,2479.772949
