season,round,race_name,records,continuous_mae,rule_mapped_mae,continuous_total_predicted_points,rule_mapped_total_predicted_points,actual_total_points,top10_hits,top10_precision
2025,1,Australian Grand Prix,20,4.635242,3.800000,106.856299,101.000000,101.000000,7,0.700000
2025,2,Chinese Grand Prix,20,3.101290,2.400000,97.171702,101.000000,101.000000,6,0.600000
2025,3,Japanese Grand Prix,20,1.643147,0.400000,99.861859,101.000000,101.000000,9,0.900000
2025,4,Bahrain Grand Prix,20,2.504460,1.100000,96.374710,101.000000,101.000000,8,0.800000
2025,5,Saudi Arabian Grand Prix,20,1.682265,1.100000,102.750696,101.000000,101.000000,8,0.800000
2025,6,Miami Grand Prix,20,2.295759,2.400000,101.563308,101.000000,101.000000,9,0.900000
2025,7,Emilia Romagna Grand Prix,20,2.994781,2.900000,98.010959,101.000000,101.000000,8,0.800000
2025,8,Monaco Grand Prix,20,2.075514,1.700000,97.173191,101.000000,101.000000,7,0.700000
2025,9,Spanish Grand Prix,19,3.216552,3.684211,97.346093,101.000000,101.000000,8,0.800000
2025,10,Canadian Grand Prix,20,2.543810,2.000000,99.308596,101.000000,101.000000,8,0.800000
2025,11,Austrian Grand Prix,20,2.268008,1.800000,97.155153,101.000000,101.000000,7,0.700000
2025,12,British Grand Prix,20,4.338976,4.700000,100.451463,101.000000,101.000000,7,0.700000
2025,13,Belgian Grand Prix,20,1.845558,1.400000,100.174067,101.000000,101.000000,7,0.700000
2025,14,Hungarian Grand Prix,20,2.612364,2.700000,100.960251,101.000000,101.000000,9,0.900000
2025,15,Dutch Grand Prix,20,4.673190,4.100000,103.222073,101.000000,101.000000,5,0.500000
2025,16,Italian Grand Prix,20,1.943160,2.200000,105.321987,101.000000,101.000000,8,0.800000
2025,17,Azerbaijan Grand Prix,20,3.136527,2.700000,101.949692,101.000000,101.000000,9,0.900000
2025,18,Singapore Grand Prix,20,2.094233,1.300000,108.428904,101.000000,101.000000,8,0.800000
2025,19,United States Grand Prix,20,2.179211,1.900000,106.207891,101.000000,101.000000,7,0.700000
2025,20,Mexico City Grand Prix,20,2.703018,2.200000,108.246950,101.000000,101.000000,7,0.700000
2025,21,São Paulo Grand Prix,20,3.083713,2.500000,107.990129,101.000000,101.000000,8,0.800000
2025,22,Las Vegas Grand Prix,20,4.587459,4.700000,105.950536,101.000000,101.000000,6,0.600000
2025,23,Qatar Grand Prix,20,2.802140,2.800000,109.664462,101.000000,101.000000,8,0.800000
2025,24,Abu Dhabi Grand Prix,20,2.466944,2.000000,111.437425,101.000000,101.000000,7,0.700000
