top10_model_rank,top10_model,points_model_rank,points_model,season,known_race_count,remaining_race_count,driver_points_mae,constructor_points_mae,combined_points_mae,driver_champion_actual,driver_champion_predicted,driver_champion_hit,constructor_champion_actual,constructor_champion_predicted,constructor_champion_hit,driver_top3_overlap,constructor_top3_overlap,deterministic_driver_winner_count,max_driver_winner_share,winner_distribution,avg_winner_runner_up_score_gap,calibration_train_end_season,calibration_season
1,xgboost_classifier,1,mlp_regressor,2022,5,17,26.727273,45.400000,36.063636,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,1,1.000000,{'Max Verstappen': 17},0.033611,2020,2021
1,xgboost_classifier,1,mlp_regressor,2023,5,17,32.181818,68.800000,50.490909,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,1,1.000000,{'Max Verstappen': 17},0.068621,2021,2022
1,xgboost_classifier,1,mlp_regressor,2024,5,19,44.083333,104.600000,74.341667,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,3,1,1.000000,{'Max Verstappen': 19},0.070151,2022,2023
1,xgboost_classifier,1,mlp_regressor,2025,5,19,45.523810,87.200000,66.361905,Lando Norris,Max Verstappen,0,McLaren,McLaren,1,3,2,2,0.947368,"{'Max Verstappen': 18, 'Oscar Piastri': 1}",0.036952,2023,2024
1,xgboost_classifier,2,ridge_regression,2022,5,17,25.636364,44.400000,35.018182,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,1,1.000000,{'Max Verstappen': 17},0.033611,2020,2021
1,xgboost_classifier,2,ridge_regression,2023,5,17,37.636364,82.600000,60.118182,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,2,1,1.000000,{'Max Verstappen': 17},0.062803,2021,2022
1,xgboost_classifier,2,ridge_regression,2024,5,19,48.333333,108.800000,78.566667,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,2,1,1.000000,{'Max Verstappen': 19},0.071744,2022,2023
1,xgboost_classifier,2,ridge_regression,2025,5,19,42.000000,81.600000,61.800000,Lando Norris,Oscar Piastri,0,McLaren,McLaren,1,3,2,1,1.000000,{'Oscar Piastri': 19},0.041621,2023,2024
1,xgboost_classifier,3,catboost_regressor,2022,5,17,26.545455,57.400000,41.972727,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,3,0.764706,"{'Charles Leclerc': 3, 'Max Verstappen': 13, 'Sergio Pérez': 1}",0.035000,2020,2021
1,xgboost_classifier,3,catboost_regressor,2023,5,17,38.909091,85.600000,62.254545,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,2,1,1.000000,{'Max Verstappen': 17},0.072696,2021,2022
1,xgboost_classifier,3,catboost_regressor,2024,5,19,57.416667,136.600000,97.008333,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,3,1,1.000000,{'Max Verstappen': 19},0.070151,2022,2023
