scenario_backtest_rank,top10_model_rank,top10_model,top10_2025_f1,points_model_rank,points_model,points_2025_mae,season_count,avg_driver_points_mae,avg_constructor_points_mae,avg_combined_points_mae,driver_champion_hit_rate,constructor_champion_hit_rate,avg_driver_top3_overlap,avg_constructor_top3_overlap,avg_deterministic_driver_winner_count,avg_max_driver_winner_share,avg_winner_runner_up_score_gap,concentration_penalty,selection_score,recommended_role
1,3,hist_gradient_boosting,0.708075,1,mlp_regressor,3.617885,4,35.761364,75.550000,55.655682,0.750000,0.750000,2.750000,2.750000,1.250000,0.986842,0.052063,0.986842,0.904899,sensitivity_only_high_concentration
2,2,lightgbm_classifier,0.708595,1,mlp_regressor,3.617885,4,36.642316,76.600000,56.621158,0.750000,0.750000,2.750000,2.750000,1.000000,1.000000,0.049022,1.000000,0.855250,sensitivity_only_high_concentration
3,1,xgboost_classifier,0.708861,1,mlp_regressor,3.617885,4,37.129058,76.500000,56.814529,0.750000,0.750000,2.750000,2.750000,1.250000,0.986842,0.052334,0.986842,0.851187,sensitivity_only_high_concentration
4,2,lightgbm_classifier,0.708595,5,xgboost_regressor,3.740700,4,38.877165,81.400000,60.138582,0.750000,0.750000,2.750000,2.500000,2.250000,0.731424,0.046824,0.731424,0.717217,candidate
5,3,hist_gradient_boosting,0.708075,2,ridge_regression,3.623049,4,36.520021,76.600000,56.560011,0.750000,0.750000,2.750000,2.250000,1.000000,1.000000,0.044674,1.000000,0.708084,sensitivity_only_high_concentration
6,1,xgboost_classifier,0.708861,5,xgboost_regressor,3.740700,4,38.491613,81.950000,60.220806,0.750000,0.750000,2.750000,2.500000,2.250000,0.775542,0.047864,0.775542,0.696980,candidate
7,2,lightgbm_classifier,0.708595,2,ridge_regression,3.623049,4,37.112825,76.850000,56.981413,0.750000,0.750000,2.750000,2.250000,1.000000,1.000000,0.047823,1.000000,0.688552,sensitivity_only_high_concentration
8,3,hist_gradient_boosting,0.708075,5,xgboost_regressor,3.740700,4,39.604167,82.600000,61.102084,0.750000,0.750000,2.750000,2.500000,2.250000,0.746130,0.045741,0.746130,0.667084,candidate
9,1,xgboost_classifier,0.708861,2,ridge_regression,3.623049,4,38.401515,79.350000,58.875758,0.750000,0.750000,2.750000,2.250000,1.000000,1.000000,0.052445,1.000000,0.600749,sensitivity_only_high_concentration
10,1,xgboost_classifier,0.708861,3,catboost_regressor,3.717629,4,39.503517,85.900000,62.701758,0.750000,0.750000,2.750000,2.750000,1.500000,0.941176,0.053398,0.941176,0.595316,sensitivity_only_high_concentration
11,3,hist_gradient_boosting,0.708075,3,catboost_regressor,3.717629,4,40.114989,86.850000,63.482495,0.750000,0.750000,2.500000,2.750000,1.500000,0.941176,0.041651,0.941176,0.484129,sensitivity_only_high_concentration
12,1,xgboost_classifier,0.708861,4,hist_gradient_boosting_regressor,3.731566,4,40.143398,86.000000,63.071699,0.750000,0.750000,2.250000,2.750000,2.500000,0.794891,0.054415,0.794891,0.482636,candidate
13,3,hist_gradient_boosting,0.708075,4,hist_gradient_boosting_regressor,3.731566,4,40.446158,86.550000,63.498079,0.750000,0.750000,2.250000,2.750000,2.000000,0.793343,0.046061,0.793343,0.463450,candidate
14,2,lightgbm_classifier,0.708595,4,hist_gradient_boosting_regressor,3.731566,4,40.112825,86.900000,63.506412,0.750000,0.750000,2.250000,2.750000,2.250000,0.824303,0.047789,0.824303,0.451536,candidate
15,2,lightgbm_classifier,0.708595,3,catboost_regressor,3.717629,4,40.471321,88.100000,64.285660,0.750000,0.750000,2.500000,2.750000,1.500000,0.941176,0.048479,0.941176,0.446902,sensitivity_only_high_concentration
