constructor_id,constructor_name,actual_points,actual_rank,deterministic_points,deterministic_rank,mean_simulated_points,p05_simulated_points,p25_simulated_points,p50_simulated_points,p75_simulated_points,p95_simulated_points,mean_simulated_rank,champion_probability,top3_probability,top5_probability
mclaren,McLaren,775.000000,1,887.000000,1,809.393333,759.000000,790.000000,810.000000,829.000000,858.000000,1.000000,1.000000,1.000000,1.000000
mercedes,Mercedes,424.000000,2,468.000000,2,467.534333,420.000000,447.000000,467.000000,487.000000,516.050000,2.097000,0.000000,0.987333,1.000000
red_bull,Red Bull,410.000000,3,427.000000,3,395.561667,354.000000,378.000000,395.000000,413.000000,437.000000,3.446000,0.000000,0.520000,1.000000
ferrari,Ferrari,360.000000,4,389.000000,4,394.333667,350.000000,374.000000,393.000000,414.000000,443.000000,3.457000,0.000000,0.492667,1.000000
williams,Williams,124.000000,5,91.000000,5,105.175667,77.000000,92.000000,104.000000,117.000000,137.000000,5.477333,0.000000,0.000000,0.591000
rb,RB F1 Team,88.000000,6,75.000000,6,96.987333,69.000000,85.000000,96.000000,109.000000,129.000000,5.786000,0.000000,0.000000,0.366333
aston_martin,Aston Martin,80.000000,7,60.000000,7,71.764667,48.000000,61.000000,71.000000,82.000000,98.000000,6.784667,0.000000,0.000000,0.042667
sauber,Sauber,70.000000,9,9.000000,9,31.735667,15.000000,24.000000,30.000000,39.000000,53.000000,8.702667,0.000000,0.000000,0.000000
alpine,Alpine F1 Team,20.000000,10,12.000000,8,30.126667,15.000000,22.000000,29.000000,37.000000,50.000000,8.780333,0.000000,0.000000,0.000000
haas,Haas F1 Team,73.000000,8,6.000000,10,21.387000,8.000000,15.000000,20.000000,27.000000,38.000000,9.469000,0.000000,0.000000,0.000000
