probability_bin,bin_sort,records,mean_raw_probability,mean_calibrated_probability,actual_top10_rate,raw_calibration_error,calibrated_calibration_error
0.0-0.1,0,22,0.079329,0.044372,0.045455,0.033874,0.001082
0.1-0.2,1,56,0.153633,0.197771,0.196429,0.042795,0.001342
0.2-0.3,2,45,0.252989,0.156384,0.155556,0.097433,0.000828
0.3-0.4,3,62,0.347845,0.290099,0.290323,0.057522,0.000224
0.4-0.5,4,40,0.451900,0.324573,0.325000,0.126900,0.000427
0.5-0.6,5,49,0.545833,0.428942,0.428571,0.117261,0.000371
0.6-0.7,6,48,0.637831,0.645163,0.645833,0.008002,0.000670
0.7-0.8,7,40,0.750305,0.749791,0.750000,0.000305,0.000209
0.8-0.9,8,72,0.852936,0.902698,0.902778,0.049841,0.000080
0.9-1.0,9,45,0.937933,0.954694,0.955556,0.017623,0.000861
