target,feature_mode,model,feature,importance_type,importance,abs_importance
top10,post_qualifying,lightgbm_classifier,constructor_last3_avg_points,feature_importance,387.000000,387.000000
top10,post_qualifying,lightgbm_classifier,qualifying_position,feature_importance,343.000000,343.000000
top10,post_qualifying,lightgbm_classifier,driver_last3_avg_finish_position,feature_importance,300.000000,300.000000
top10,post_qualifying,lightgbm_classifier,constructor_pre_race_points,feature_importance,282.000000,282.000000
top10,post_qualifying,lightgbm_classifier,grid,feature_importance,269.000000,269.000000
top10,post_qualifying,lightgbm_classifier,circuit_history_large_gain_rate,feature_importance,265.000000,265.000000
top10,post_qualifying,lightgbm_classifier,driver_pre_race_points,feature_importance,253.000000,253.000000
top10,post_qualifying,lightgbm_classifier,circuit_history_pole_win_rate,feature_importance,222.000000,222.000000
top10,post_qualifying,lightgbm_classifier,driver_pre_race_rank,feature_importance,213.000000,213.000000
top10,post_qualifying,lightgbm_classifier,circuit_history_avg_abs_position_change,feature_importance,202.000000,202.000000
top10,post_qualifying,lightgbm_classifier,driver_last3_avg_points,feature_importance,198.000000,198.000000
top10,post_qualifying,lightgbm_classifier,constructor_pre_race_rank,feature_importance,187.000000,187.000000
top10,post_qualifying,lightgbm_classifier,circuit_history_race_count,feature_importance,177.000000,177.000000
top10,post_qualifying,lightgbm_classifier,circuit_history_front3_podium_rate,feature_importance,141.000000,141.000000
top10,post_qualifying,lightgbm_classifier,circuit_history_avg_position_change,feature_importance,139.000000,139.000000
top10,post_qualifying,lightgbm_classifier,circuit_history_non_front_row_winner_rate,feature_importance,135.000000,135.000000
top10,post_qualifying,lightgbm_classifier,constructor_id=toro_rosso,feature_importance,38.000000,38.000000
top10,post_qualifying,lightgbm_classifier,driver_id=gutierrez,feature_importance,38.000000,38.000000
top10,post_qualifying,lightgbm_classifier,constructor_id=force_india,feature_importance,37.000000,37.000000
top10,post_qualifying,lightgbm_classifier,circuit_id=indianapolis,feature_importance,36.000000,36.000000
top10,post_qualifying,lightgbm_classifier,constructor_id=haas,feature_importance,36.000000,36.000000
top10,post_qualifying,lightgbm_classifier,constructor_id=sauber,feature_importance,30.000000,30.000000
top10,post_qualifying,lightgbm_classifier,constructor_id=brawn,feature_importance,28.000000,28.000000
top10,post_qualifying,lightgbm_classifier,driver_id=maldonado,feature_importance,28.000000,28.000000
top10,post_qualifying,lightgbm_classifier,constructor_id=mclaren,feature_importance,27.000000,27.000000
top10,post_qualifying,lightgbm_classifier,driver_id=alonso,feature_importance,25.000000,25.000000
top10,post_qualifying,lightgbm_classifier,driver_id=perez,feature_importance,23.000000,23.000000
top10,post_qualifying,lightgbm_classifier,driver_id=hamilton,feature_importance,22.000000,22.000000
top10,post_qualifying,lightgbm_classifier,driver_id=ocon,feature_importance,22.000000,22.000000
top10,post_qualifying,lightgbm_classifier,driver_id=panis,feature_importance,20.000000,20.000000
