feature_mode,model,train_seasons,test_season,train_records,test_records,positive_train_records,positive_test_records,accuracy,precision,recall,f1,roc_auc
post_qualifying,logistic_regression,2003-2024,2025,8529,479,4064,240,0.728601,0.727273,0.733333,0.730290,0.827545
post_qualifying,random_forest,2003-2024,2025,8529,479,4064,240,0.753653,0.752066,0.758333,0.755187,0.836349
post_qualifying,hist_gradient_boosting,2003-2024,2025,8529,479,4064,240,0.745303,0.736000,0.766667,0.751020,0.838285
post_qualifying,catboost_classifier,2003-2024,2025,8529,479,4064,240,0.753653,0.754167,0.754167,0.754167,0.843480
post_qualifying,lightgbm_classifier,2003-2024,2025,8529,479,4064,240,0.764092,0.759184,0.775000,0.767010,0.843846
post_qualifying,xgboost_classifier,2003-2024,2025,8529,479,4064,240,0.755741,0.759494,0.750000,0.754717,0.842190
post_qualifying,mlp_classifier,2003-2024,2025,8529,479,4064,240,0.757829,0.787037,0.708333,0.745614,0.824948
post_qualifying,tabnet_classifier,2003-2024,2025,8529,479,4064,240,0.753653,0.740157,0.783333,0.761134,0.825915
pre_race,logistic_regression,2003-2024,2025,8529,479,4064,240,0.691023,0.696581,0.679167,0.687764,0.764679
pre_race,random_forest,2003-2024,2025,8529,479,4064,240,0.688935,0.687243,0.695833,0.691511,0.771391
pre_race,hist_gradient_boosting,2003-2024,2025,8529,479,4064,240,0.688935,0.687243,0.695833,0.691511,0.762762
pre_race,catboost_classifier,2003-2024,2025,8529,479,4064,240,0.705637,0.714286,0.687500,0.700637,0.764714
pre_race,lightgbm_classifier,2003-2024,2025,8529,479,4064,240,0.686848,0.687500,0.687500,0.687500,0.767678
pre_race,xgboost_classifier,2003-2024,2025,8529,479,4064,240,0.701461,0.711790,0.679167,0.695096,0.761524
pre_race,mlp_classifier,2003-2024,2025,8529,479,4064,240,0.713987,0.756219,0.633333,0.689342,0.756241
pre_race,tabnet_classifier,2003-2024,2025,8529,479,4064,240,0.680585,0.665399,0.729167,0.695825,0.758281
