task,feature_mode,model,train_seasons,test_season,records,primary_metric,primary_value,secondary_metric,secondary_value
top10,post_qualifying,lightgbm_classifier,2003-2021,2022,440,f1,0.786177,roc_auc,0.831095
points,post_qualifying,catboost_regressor,2003-2021,2022,440,mae,3.034702,rmse,4.567158
top10,pre_race,lightgbm_classifier,2003-2021,2022,440,f1,0.746067,roc_auc,0.796271
points,pre_race,catboost_regressor,2003-2021,2022,440,mae,3.506888,rmse,5.008767
top10,post_qualifying,lightgbm_classifier,2003-2022,2023,440,f1,0.787097,roc_auc,0.845413
points,post_qualifying,catboost_regressor,2003-2022,2023,440,mae,2.906720,rmse,4.282901
top10,pre_race,lightgbm_classifier,2003-2022,2023,440,f1,0.789588,roc_auc,0.840083
points,pre_race,catboost_regressor,2003-2022,2023,440,mae,3.456824,rmse,4.919128
top10,post_qualifying,lightgbm_classifier,2003-2023,2024,479,f1,0.840580,roc_auc,0.909728
points,post_qualifying,catboost_regressor,2003-2023,2024,479,mae,2.578857,rmse,4.111957
top10,pre_race,lightgbm_classifier,2003-2023,2024,479,f1,0.788501,roc_auc,0.855570
points,pre_race,catboost_regressor,2003-2023,2024,479,mae,3.231469,rmse,4.879275
top10,post_qualifying,lightgbm_classifier,2003-2024,2025,479,f1,0.751020,roc_auc,0.840673
points,post_qualifying,catboost_regressor,2003-2024,2025,479,mae,2.822070,rmse,4.114288
top10,pre_race,lightgbm_classifier,2003-2024,2025,479,f1,0.708595,roc_auc,0.769282
points,pre_race,catboost_regressor,2003-2024,2025,479,mae,3.717629,rmse,5.178373
