season,round,race_name,predicted_top10_count,actual_top10_count,top10_hits,precision_at_10,recall_at_10,actual_points_in_predicted_top10,actual_points_total,points_capture_rate,exact_top10_set_hit
2025,1,Australian Grand Prix,10,10,7,0.700000,0.700000,75.000000,101.000000,0.742574,0
2025,2,Chinese Grand Prix,10,10,7,0.700000,0.700000,94.000000,101.000000,0.930693,0
2025,3,Japanese Grand Prix,10,10,9,0.900000,0.900000,100.000000,101.000000,0.990099,0
2025,4,Bahrain Grand Prix,10,10,7,0.700000,0.700000,94.000000,101.000000,0.930693,0
2025,5,Saudi Arabian Grand Prix,10,10,8,0.800000,0.800000,98.000000,101.000000,0.970297,0
2025,6,Miami Grand Prix,10,10,10,1.000000,1.000000,101.000000,101.000000,1.000000,1
2025,7,Emilia Romagna Grand Prix,10,10,7,0.700000,0.700000,86.000000,101.000000,0.851485,0
2025,8,Monaco Grand Prix,10,10,8,0.800000,0.800000,96.000000,101.000000,0.950495,0
2025,9,Spanish Grand Prix,10,10,8,0.800000,0.800000,89.000000,101.000000,0.881188,0
2025,10,Canadian Grand Prix,10,10,7,0.700000,0.700000,94.000000,101.000000,0.930693,0
2025,11,Austrian Grand Prix,10,10,7,0.700000,0.700000,92.000000,101.000000,0.910891,0
2025,12,British Grand Prix,10,10,7,0.700000,0.700000,76.000000,101.000000,0.752475,0
2025,13,Belgian Grand Prix,10,10,7,0.700000,0.700000,92.000000,101.000000,0.910891,0
2025,14,Hungarian Grand Prix,10,10,9,0.900000,0.900000,100.000000,101.000000,0.990099,0
2025,15,Dutch Grand Prix,10,10,5,0.500000,0.500000,74.000000,101.000000,0.732673,0
2025,16,Italian Grand Prix,10,10,8,0.800000,0.800000,94.000000,101.000000,0.930693,0
2025,17,Azerbaijan Grand Prix,10,10,9,0.900000,0.900000,97.000000,101.000000,0.960396,0
2025,18,Singapore Grand Prix,10,10,8,0.800000,0.800000,98.000000,101.000000,0.970297,0
2025,19,United States Grand Prix,10,10,8,0.800000,0.800000,93.000000,101.000000,0.920792,0
2025,20,Mexico City Grand Prix,10,10,7,0.700000,0.700000,86.000000,101.000000,0.851485,0
2025,21,São Paulo Grand Prix,10,10,8,0.800000,0.800000,78.000000,101.000000,0.772277,0
2025,22,Las Vegas Grand Prix,10,10,6,0.600000,0.600000,79.000000,101.000000,0.782178,0
2025,23,Qatar Grand Prix,10,10,8,0.800000,0.800000,98.000000,101.000000,0.970297,0
2025,24,Abu Dhabi Grand Prix,10,10,7,0.700000,0.700000,94.000000,101.000000,0.930693,0
